contract_id,symbol,timestamp,price,confidence,source,date
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754193600,0.99996,0.99,defillama,2025-08-03 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754193600,0.999708,0.99,defillama,2025-08-03 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754193600,0.999761,0.99,defillama,2025-08-03 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754193600,3446.83,0.99,defillama,2025-08-03 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754280000,0.999492,0.99,defillama,2025-08-04 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754280000,0.999723,0.99,defillama,2025-08-04 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754280000,0.999974,0.99,defillama,2025-08-04 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754280000,3558.11,0.99,defillama,2025-08-04 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754366400,0.999862,0.99,defillama,2025-08-05 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754366400,0.999785,0.99,defillama,2025-08-05 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754366400,0.999907,0.99,defillama,2025-08-05 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754366400,3653.58,0.99,defillama,2025-08-05 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754452800,0.999957,0.99,defillama,2025-08-06 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754452800,0.999753,0.99,defillama,2025-08-06 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754452800,0.999892,0.99,defillama,2025-08-06 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754452800,3585.14,0.99,defillama,2025-08-06 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754539200,1.0,0.99,defillama,2025-08-07 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754539200,0.999809,0.99,defillama,2025-08-07 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754539200,1.0,0.99,defillama,2025-08-07 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754539200,3660.27,0.99,defillama,2025-08-07 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754625600,0.999876,0.99,defillama,2025-08-08 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754625600,0.999742,0.99,defillama,2025-08-08 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754625600,1.0,0.99,defillama,2025-08-08 04:00:00
ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1754625600,3932.5,0.99,defillama,2025-08-08 04:00:00
ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,DAI,1754712000,0.999905,0.99,defillama,2025-08-09 04:00:00
ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1754712000,0.999801,0.99,defillama,2025-08-09 04:00:00
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1754712000,1.0,0.99,defillama,2025-08-09 04:00:00
