symbol,contract_id,timestamp,price,confidence,source
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754193600,0.999960000000000000,0.99,defillama
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1754193600,0.999708000000000000,0.99,defillama
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,1754193600,0.999761000000000000,0.99,defillama
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1754193600,3446.829999999999803392,0.99,defillama
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754280000,0.999492000000000000,0.99,defillama
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1754280000,0.999723000000000000,0.99,defillama
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,1754280000,0.999974000000000000,0.99,defillama
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1754280000,3558.110000000000327680,0.99,defillama
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754366400,0.999862000000000000,0.99,defillama
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1754366400,0.999785000000000000,0.99,defillama
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,1754366400,0.999907000000000000,0.99,defillama
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1754366400,3653.580000000000131072,0.99,defillama
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754452800,0.999957000000000000,0.99,defillama
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1754452800,0.999753000000000000,0.99,defillama
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,1754452800,0.999892000000000000,0.99,defillama
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1754452800,3585.139999999999868928,0.99,defillama
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754539200,1.000000000000000000,0.99,defillama
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1754539200,0.999809000000000000,0.99,defillama
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,1754539200,1.000000000000000000,0.99,defillama
WETH,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1754539200,3660.269999999999803392,0.99,defillama
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1754625600,0.999876000000000000,0.99,defillama
